value,date
17709.1,2017-09-04
17688.4,2017-09-05
17634.6,2017-09-06
17573.5,2017-09-10
17556.9,2017-09-11
17540.8,2017-09-12
17546.3,2017-09-13
17589.5,2017-09-16
17656.9,2017-09-17
17773.4,2017-09-18
17854.8,2017-09-19
17951.0,2017-09-20
17965.3,2017-09-23
17954.4,2017-09-24
17953.3,2017-09-25
18001.1,2017-09-26
18007.8,2017-09-27
17876.3,2017-10-02
17762.5,2017-10-03
17769.9,2017-10-04
17595.7,2017-10-07
17328.3,2017-10-08
17312.0,2017-10-09
17347.1,2017-10-10
17358.5,2017-10-11
17486.1,2017-10-14
17521.9,2017-10-15
17582.4,2017-10-16
17545.6,2017-10-17
17503.3,2017-10-18
17556.6,2017-10-21
17576.1,2017-10-22
17499.8,2017-10-23
17481.0,2017-10-24
17480.4,2017-10-25
17460.3,2017-10-28
17428.6,2017-10-29
17440.1,2017-10-30
17475.4,2017-10-31
17525.2,2017-11-01
17561.5,2017-11-04
17616.2,2017-11-05
17579.2,2017-11-06
17551.8,2017-11-07
17542.9,2017-11-08
17531.6,2017-11-11
17512.0,2017-11-12
17521.3,2017-11-13
17540.0,2017-11-14
17547.6,2017-11-15
17552.6,2017-11-18
17536.4,2017-11-20
17535.0,2017-11-21
17562.9,2017-11-22
17655.7,2017-11-25
17632.6,2017-11-26
17628.6,2017-11-28
17622.9,2017-11-29
17654.7,2017-12-02
17646.5,2017-12-03
17625.2,2017-12-04
17624.6,2017-12-05
17650.7,2017-12-09
17674.3,2017-12-10
17686.5,2017-12-11
17736.5,2017-12-12
17748.1,2017-12-13
17748.0,2017-12-14
17748.0,2017-12-15
17823.7,2017-12-16
17835.3,2017-12-17
17812.5,2017-12-18
17884.2,2017-12-19
17888.3,2017-12-20
17972.0,2017-12-23
18008.9,2017-12-24
17992.6,2017-12-25
17934.8,2017-12-26
17880.3,2017-12-27
17662.0,2017-12-30
17220.1,2017-12-31
17270.7,2018-01-01
17165.2,2018-01-02
17043.4,2018-01-03
17165.0,2018-01-06
17306.4,2018-01-07
17377.2,2018-01-08
17308.7,2018-01-09
17304.0,2018-01-10
17399.1,2018-01-13
17410.4,2018-01-14
17410.9,2018-01-15
17408.1,2018-01-16
17439.7,2018-01-17
17447.4,2018-01-20
17342.4,2018-01-21
17365.0,2018-01-22
17439.4,2018-01-23
17513.8,2018-01-24
17538.1,2018-01-27
17511.1,2018-01-28
17497.0,2018-01-29
17518.1,2018-01-30
17472.2,2018-01-31
17448.7,2018-02-03
17509.4,2018-02-04
17612.2,2018-02-05
17578.8,2018-02-06
17607.3,2018-02-07
17550.7,2018-02-10
17630.2,2018-02-12
17605.1,2018-02-13
17643.9,2018-02-14
17648.9,2018-02-17
17610.4,2018-02-18
17584.2,2018-02-19
17615.3,2018-02-21
17612.9,2018-02-24
17549.0,2018-02-25
17554.2,2018-02-26
17568.2,2018-02-27
17620.7,2018-02-28
17664.2,2018-03-03
17608.6,2018-03-04
17541.0,2018-03-05
17429.2,2018-03-06
17312.3,2018-03-07
17243.3,2018-03-10
17146.7,2018-03-11
17155.3,2018-03-12
17165.9,2018-03-13
17114.1,2018-03-14
17068.0,2018-03-17
17149.7,2018-03-18
17271.3,2018-03-19
17295.3,2018-03-25
17294.1,2018-03-26
17287.5,2018-03-27
17323.6,2018-03-28
17344.3,2018-04-03
17334.4,2018-04-04
17272.8,2018-04-07
17075.7,2018-04-08
16920.2,2018-04-09
16949.8,2018-04-10
16763.3,2018-04-11
16677.9,2018-04-15
16664.9,2018-04-16
16691.2,2018-04-17
16734.8,2018-04-18
16794.1,2018-04-21
16757.2,2018-04-22
16730.6,2018-04-23
16805.0,2018-04-24
16836.0,2018-04-25
16711.3,2018-04-28
16617.4,2018-04-29
16613.4,2018-04-30
16610.3,2018-05-01
16526.8,2018-05-05
16415.3,2018-05-06
16501.7,2018-05-07
16638.2,2018-05-08
16496.9,2018-05-09
16578.0,2018-05-12
16774.1,2018-05-13
17022.1,2018-05-14
17116.0,2018-05-15
17126.4,2018-05-16
17237.1,2018-05-19
17298.7,2018-05-20
17296.1,2018-05-21
17274.8,2018-05-22
17336.1,2018-05-23
17371.9,2018-05-26
17361.0,2018-05-27
17299.2,2018-05-28
17247.3,2018-05-29
17244.9,2018-05-30
17279.8,2018-06-02
